key,type,has_diagrams,uc_b79_token,uc_b10,uc_b2,uc_other,quality
Venice_1482,Elements,True,,,,,
Venice_1505,Elements,True,,,,,
Venice_1510,Elements,True,,,,,
Venice_1509,Elements,True,,,,,
Paris_1516,Elements,True,True,True,,,
Basel_1533,Elements,True,True,True,,,
Paris_1536,Elements,True,,,True,,
Paris_1544,Elements,True,,,True,,
Paris_1551,Elements,True,,,True,,
Basel_1537,Elements,True,True,True,,,
Basel_1558,Elements,True,True,True,,b1p39,
Strasbourg_1538,Elements,True,,,,,
Venice_1543,Elements,True,,,,,
Venice_1565,Elements,True,,,,b1d2,
Venice_1569,Elements,True,,,,b1d2,
Venice_1585,Elements,True,,,,b1d2,
Venice_1586,Elements,True,,,,b1d2,
Rome_1545,Elements,,,,,,
Rome_1545a,Elements,,,,,,
Leipzig_1549,Elements,True,,,,,
Paris_1549,Elements,,,,,,
Paris_1558a,Elements,,,,,,
Basel_1550,Elements,True,,,,"b1m, b3m, b6m",
Paris_1551a,Elements,True,,True,,,
Augsburg_1555,Elements,True,,,,b79_scheubel,
Cologne_1556,Elements,,,,,,
Lyon_1557,Elements,True,,,,,
Geneva_1610,Elements,True,,,,,
Geneva_1628,Elements,True,,,,,
Basel_1562,Elements,True,,,,"b1m, b2p14, b2p15, b3m, b4m, b6m",
Strasbourg_1559,Elements,True,,,,,
Cologne_1564,Elements,True,True,True,,,
Paris_1564,Elements,True,,,,b1p43,
Paris_1565,Elements,,,,,,
Paris_1566a,Elements,True,,,,,
Wittenberg_1564,Elements,,,,,,
Paris_1566,Elements,True,,,,b10p9,
London_1570,Elements,True,True,True,,"b6d6, b12p17",
Pesaro_1619,Elements,True,True,True,,,
Pesaro_1572,Elements,True,True,True,,,
Urbino_1575,Elements,True,True,True,,,
Pesaro_1619a,Elements,True,True,True,,,
Venice_1575,Elements,True,,,,,
Seville_1576,Elements,True,,,,,
Arnhem_1603,Elements,True,,,,,based_on_crops_only
Leiden_1606,Elements,True,,,,"b1m, b2p1, b2p12, b2p13, b2p14, b2p15, b3m, b4m, b6m",
