class,subclass,city,library_name,collection_name,shelfmark_no,folios,date
Boethius tradition,"Cassiodorus, Institutiones, third recension",olim Cheltenham,Phillipps,MS,16278,f.54-54v,950
Boethius tradition,"Cassiodorus, Institutiones, third recension",Glasgow,Hunterian,Museum,281,f.54-54v,1025
Boethius tradition,"Cassiodorus, Institutiones, third recension",Karlsruhe,Badische Landesbibliothek,Augiensis,106,f.54-54v,1025
Boethius tradition,"Cassiodorus, Institutiones, third recension",München,Bayerische Staatsbibliothek,CLM,13084,f.54-54v,1000
Boethius tradition,"Cassiodorus, Institutiones, third recension",Paris,Bibliothèque Nationale,Lat.,12963,,1000
Boethius tradition,"Cassiodorus, Institutiones, third recension",Valenciennes,Bibliothèque,Municipale,195,,925
Boethius tradition,Manuscripts of the Corpus agrimensorum,Bern,Bürgerbibliothek,,87,f.16v,1004
Boethius tradition,Manuscripts of the Corpus agrimensorum,Bruxelles,Bibliothèque Royale,4499-,4503,f.4v-5,1200
Boethius tradition,Manuscripts of the Corpus agrimensorum,Bruxelles,Bibliothèque Royale,10629-,10660,f.153,1225
Boethius tradition,Manuscripts of the Corpus agrimensorum,Chartres,Bibliothèque de la,Ville,498,f.153,1200
Boethius tradition,Manuscripts of the Corpus agrimensorum,München,Bayerische Staatsbibliothek,CLM,13084,f.53v-54,1000
Boethius tradition,Manuscripts of the Corpus agrimensorum,Napoli,Biblioteca Nazionale V,A,13,f.30v-31,1000
Boethius tradition,Manuscripts of the Corpus agrimensorum,Paris,Bibliothèque Nationale,Lat.,8679A,f.19-21,1625
Boethius tradition,Manuscripts of the Corpus agrimensorum,Vaticano,Ottob.,lat.,1862,f.26,1200
Boethius tradition,Manuscripts of the Corpus agrimensorum,Vaticano,Palat.,lat.,1564,f.79-82,925
Boethius tradition,Manuscripts of the Corpus agrimensorum,Wolfenbüttel,Herzog August Bibliothek Cod. Guelf. 105 Gud. lat.,,,f.43-45v,925
Boethius tradition,"Pseudo-Boethius, Geometry I",Bamberg,Staatliche Bibliothek Class. 55 (olim H.J. IV 22),,,f.1v-16,1000
Boethius tradition,"Pseudo-Boethius, Geometry I",Bern,Bürgerbibliothek,,87,f.1v-8v,1004
Boethius tradition,"Pseudo-Boethius, Geometry I",Bern,Bürgerbibliothek,,299,f.1-14,1125
Boethius tradition,"Pseudo-Boethius, Geometry I",Cambridge,Trinity College R.15.14 (939),,,f.4-43v,1025
Boethius tradition,"Pseudo-Boethius, Geometry I",Cesena,Biblioteca Malatestiana Plut.sin.,XXVI.,1,f.221-249,1450
Boethius tradition,"Pseudo-Boethius, Geometry I",Chartres,Bibliothèque de la,Ville,498,f.141v-143,1200
Boethius tradition,"Pseudo-Boethius, Geometry I",Einsiedeln,Stiftsbibliothek,,298,f.1-27,p.1-22
Boethius tradition,"Pseudo-Boethius, Geometry I",Einsiedeln,Stiftsbibliothek,,358,f.1-27,p.1-20
Boethius tradition,"Pseudo-Boethius, Geometry I",Firenze,Biblioteca Medicea Laurenziana Plut.,29.,19,f.1-27,1250
Boethius tradition,"Pseudo-Boethius, Geometry I",London,British Library,Addit.,47679,f.74-101v,1225
Boethius tradition,"Pseudo-Boethius, Geometry I",Madrid,Biblioteca Nacional 9088 (olim Aa 53),,,f.130-147v,1225
Boethius tradition,"Pseudo-Boethius, Geometry I",München,Bayerische Staatsbibliothek,CLM,560,f.122-149,925
Boethius tradition,"Pseudo-Boethius, Geometry I",München,Bayerische Staatsbibliothek,CLM,4024a,f.3-9v,1325
Boethius tradition,"Pseudo-Boethius, Geometry I",Napoli,Biblioteca Nazionale V,A,13,f.1-15,1000
Boethius tradition,"Pseudo-Boethius, Geometry I",New York,Columbia University,Plimpton,164,f.2-16v,1625
Boethius tradition,"Pseudo-Boethius, Geometry I",Oxford,Bodleian Library,Douce,125,f.59v-83,p.1-67
Boethius tradition,"Pseudo-Boethius, Geometry I",Paris,Bibliothèque Nationale,Lat.,13020,f.59v-83,925
Boethius tradition,"Pseudo-Boethius, Geometry I",Paris,Bibliothèque Nationale,Lat.,13955,f.107-123v,925
Boethius tradition,"Pseudo-Boethius, Geometry I",Paris,Bibliothèque Nationale,Lat.,14080,f.65-72v,80-87v
